IMDB,Title,Release_date,Duration,Genre,Score,Director,Writer,Language,Country,Votes
tt0119099,Fallen,1998-01-16,124 min,"Action, Crime, Drama",7.00,Gregory Hoblit,Nicholas Kazan,"English, Syriac, Assyrian Neo-Aramaic, Dutch",United States,99053
tt0326716,5-25-77,2007-03-25,132 min,"Comedy, Drama",6.50,Patrick Read Johnson,Patrick Read Johnson,English,United States,1511
tt0468569,The Dark Knight,2008-07-18,152 min,"Action, Crime, Drama",9.10,Christopher Nolan,"Jonathan Nolan, Christopher Nolan, David S. Goyer","English, Mandarin","United States, United Kingdom",3087450
tt0482571,The Prestige,2006-10-20,130 min,"Drama, Mystery, Sci-Fi",8.50,Christopher Nolan,"Jonathan Nolan, Christopher Nolan, Christopher Priest",English,"United Kingdom, United States",1538383
tt0490215,Silence,2017-01-13,161 min,"Drama, History",7.20,Martin Scorsese,"Jay Cocks, Martin Scorsese, Shûsaku Endô","English, Japanese, Latin","United Kingdom, Italy, Mexico, United States",130171
tt0816692,Interstellar,2014-11-07,169 min,"Adventure, Drama, Sci-Fi",8.70,Christopher Nolan,"Jonathan Nolan, Christopher Nolan",English,"United States, United Kingdom, Canada",2423918
tt1211837,Doctor Strange,2016-11-04,115 min,"Action, Adventure, Fantasy",7.50,Scott Derrickson,"Jon Spaihts, Scott Derrickson, C. Robert Cargill",English,"United States, Hong Kong, Nepal",860272
tt1212428,The Lost City of Z,2017-04-21,141 min,"Adventure, Biography, Drama",6.60,James Gray,"James Gray, David Grann","English, Portuguese, Tupi, Spanish, German",United States,103964
tt1298650,Pirates of the Caribbean: On Stranger Tides,2011-03-20,136 min,"Action, Adventure, Fantasy",6.60,Rob Marshall,"Ted Elliott, Terry Rossio, Stuart Beattie","English, Spanish","United States, United Kingdom",594656
tt1355644,Passengers,2016-12-21,116 min,"Drama, Romance, Sci-Fi",7.00,Morten Tyldum,Jon Spaihts,"English, Spanish, Japanese, French","Hong Kong, Australia, United States",483360
tt1366338,Lowriders,2017-04-28,98 min,"Adventure, Crime, Drama",5.70,Ricardo de Montreuil,"Elgin James, Cheo Hodari Coker",English,United States,2791
tt1386697,Suicide Squad,2016-08-05,123 min,"Action, Adventure, Fantasy",5.90,David Ayer,"David Ayer, John Ostrander","English, Japanese, Spanish","United States, Canada",749653
tt1392190,Mad Max: Fury Road,2015-03-15,120 min,"Action, Adventure, Sci-Fi",8.10,George Miller,"George Miller, Brendan McCarthy, Nick Lathouris","English, Russian","Australia, United States",1183848
tt1431045,Deadpool,2016-02-12,108 min,"Action, Comedy, Sci-Fi",8.00,Tim Miller,"Rhett Reese, Paul Wernick",English,United States,1228663
tt1446714,Prometheus,2012-06-08,124 min,"Adventure, Mystery, Sci-Fi",7.00,Ridley Scott,"Jon Spaihts, Damon Lindelof, Dan O'Bannon","English, Gaelic","United Kingdom, United States",686571
tt1628841,Independence Day: Resurgence,2016-06-24,120 min,"Action, Adventure, Sci-Fi",5.20,Roland Emmerich,"James A. Woods, Nicolas Wright, Dean Devlin","English, Mandarin, Russian","United States, India",196930
tt1661275,Their Finest,2017-04-07,117 min,"Comedy, Drama, Romance",6.80,Lone Scherfig,"Lissa Evans, Gaby Chiappe","English, Hungarian, Polish, French","United Kingdom, Sweden, France",21896
tt1679335,Trolls,2016-11-04,92 min,"Animation, Adventure, Comedy",6.40,"Mike Mitchell, Walt Dohrn","Jonathan Aibel, Glenn Berger, Erica Rivinoja",English,"United States, India, United Kingdom, Germany",97374
tt1700841,Sausage Party,2016-08-12,89 min,"Animation, Adventure, Comedy",6.10,"Greg Tiernan, Conrad Vernon","Kyle Hunter, Ariel Shaffir, Seth Rogen",English,"Canada, United States",221851
