Genre,Quantity,Score
"Action, Adventure, Sci-Fi",8,6.83
"Action, Crime, Drama",4,7.3
"Action, Adventure, Fantasy",4,6.48
"Animation, Adventure, Comedy",4,6.65
Drama,4,7.25
"Action, Adventure, Drama",3,6.0
"Action, Adventure, Comedy",3,7.33
"Biography, Drama",3,7.53
"Drama, Mystery, Sci-Fi",2,8.2
"Comedy, Drama, Romance",2,6.25
"Biography, Drama, History",2,7.95
Comedy,2,6.2
"Adventure, Biography, Drama",1,6.6
"Drama, Romance, Sci-Fi",1,7.0
"Adventure, Crime, Drama",1,5.7
"Action, Comedy, Sci-Fi",1,8.0
"Adventure, Mystery, Sci-Fi",1,7.0
"Biography, Crime, Drama",1,6.7
"Action, Drama, History",1,7.1
"Drama, Romance, Thriller",1,4.2
"Action, Horror, Sci-Fi",1,5.5
"Drama, Romance",1,7.4
"Action, Crime, Thriller",1,7.5
"Adventure, Family, Fantasy",1,7.2
"Comedy, Drama",1,6.5
"Horror, Mystery, Thriller",1,6.8
"Adventure, Drama, Family",1,7.4
"Animation, Comedy, Family",1,7.1
"Action, Sci-Fi",1,7.8
Horror,1,2.9
"Crime, Drama, Mystery",1,6.5
"Action, Drama, Romance",1,7.1
"Drama, Horror, Mystery",1,4.6
"Comedy, Drama, Music",1,8.0
"Crime, Drama, Thriller",1,6.5
"Drama, History",1,7.2
"Crime, Horror, Thriller",1,7.1
"Action, Thriller",1,6.6
"Adventure, Drama, Sci-Fi",1,8.7
"Drama, Thriller",1,7.4
"Comedy, Drama, Fantasy",1,6.2
"Horror, Thriller",1,7.3
